gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalSpend,AvgMonthlySpend,tenure_1-2yr,tenure_2-4yr,tenure_4-6yr,tenure_6+yr
1,0,0,0,-1.0780950719578417,1,0,-1.4859572302583868,-0.9516598430455983,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1.3378491381773565,0.9206697794130424,False,False,False,False
1,1,1,0,-0.22327464034736783,1,1,0.6958599445175784,-0.03476727199359184,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,-0.411766630869432,0.06547289979965683,False,False,False,False
1,0,0,0,1.038603139649046,1,1,-1.3150620447055925,-0.3619938392131716,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-1.6294745971242033,0.05616043641038095,False,False,False,False
1,0,1,1,1.608483427389362,1,1,1.3263470368482753,2.3840765940825652,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,1.8995896054091397,0.12884980121560963,False,False,False,False
0,0,0,0,-0.1825689055087738,0,1,-0.968294143923709,-0.587070430101919,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,-0.08577973990714198,0.020709117729513903,False,False,False,False
1,0,1,1,0.3058999125543541,1,1,0.6676539430185732,0.46349907518199496,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,-0.04785499701266146,0.09176693203563999,False,False,False,False
1,0,0,0,-1.2816237461508118,1,0,-1.4743429943470316,-0.9999265844390327,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1.6254897628441471,0.3063468200346667,False,False,False,False
0,0,0,0,-1.118800806796436,1,1,0.5000771105833092,-0.8279214696551571,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,-0.8234733644535903,0.5453564967125044,False,False,False,False
0,0,0,0,-1.2816237461508118,1,1,0.14169497389007082,-0.9785575816584849,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.4466203902432473,0.30120276542453567,False,False,False,False
0,0,0,1,-0.8338606629262777,1,1,1.3396204493183952,-0.44918112571203905,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,-1.377819946497932,-0.10489432750783527,False,False,False,False
1,0,0,0,-1.118800806796436,1,1,1.0343319625056364,-0.8099750176279619,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,-1.4211583639807701,0.5348940971435463,False,False,False,False
1,0,1,0,1.5677776925507678,1,1,0.702496650752638,1.6439499936700597,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.8601800872744539,0.11060565804260382,False,False,False,False
1,0,0,0,-1.2002122764736238,1,1,0.39886734049864464,-0.9087024432054415,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.7433091517287101,0.3744174692652476,False,False,False,False
0,0,1,0,-0.10115743583158582,1,0,-1.5025489958460365,-0.7211422740361364,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-0.11269929230696608,0.0150346161999218,False,False,False,False
0,0,1,0,-0.30468611002455576,1,1,-1.4842980536996215,-0.7860610412103057,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.1877254367241187,-0.0064852348511751715,False,False,False,False
1,0,1,1,0.7943687306174821,1,0,-1.3399496930870676,-0.42487223959207304,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-1.32831179292336,0.05225819964958666,False,False,False,False
0,1,0,0,0.5501343215859181,1,1,1.4955830458423045,1.1300847132532315,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0.5784399043853652,0.11661762882159998,False,False,False,False
1,0,0,0,-0.9559778674420597,1,1,0.1848335644179605,-0.7465700709793138,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.4396707906049352,-0.9523466386082142,False,False,False,False
0,0,1,0,-0.5489205190561198,1,1,0.7273842991341128,-0.32248092955427354,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.6583529387356044,0.02168913061503516,False,False,False,False
0,0,0,0,-0.8338606629262777,1,1,-0.5153389433808663,-0.7405367283051345,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.16665469723644155,-0.2190372498464833,False,False,False,False
1,1,1,0,0.5094285867473242,1,1,1.1206091435614163,0.9769475064686075,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0.32353236562670495,0.11117853128734799,False,False,False,False
0,0,1,1,0.14307697319997814,1,1,1.3130736243781553,0.6079921473716128,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,-0.06219382156782036,0.10358887578175728,False,False,False,False
1,0,0,0,0.22448844287716613,1,1,1.0011484313303367,0.6107345758598762,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,-0.02616334386885352,0.1013607271853774,False,False,False,False
1,0,1,1,-1.2816237461508118,1,0,-1.5174815848749215,-1.0004970095645918,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1.680802764877281,0.30648413566080984,False,False,False,False
1,0,1,0,-0.9152721326034657,1,1,1.1139724373263562,-0.5535689236892942,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,-1.2814591462658178,-0.34107077001876773,False,False,False,False
1,0,1,1,-0.7931549280876837,1,0,-0.6679831867872456,-0.7635511881786404,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2666753119560514,-0.17102888548504075,False,False,False,False
1,0,0,0,-0.5896262538947137,1,1,0.5664441729339088,-0.3834505997053438,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,-0.5937774466937609,0.007354540105404838,False,False,False,False
0,0,1,0,0.18378270803857213,0,0,-0.6480730680820656,-0.3098876979361685,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,-0.37933143639034617,0.050778734275605725,False,False,False,False
1,0,0,1,-1.118800806796436,1,0,-1.4793205240233267,-0.9553895457896364,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,1.3909309971486636,0.6196676721350547,False,False,False,False
1,0,0,0,-0.8745663977648718,1,0,0.33250027814804495,-0.6510896807319381,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.5530907713225752,-0.26298381951905364,False,False,False,False
1,0,0,1,1.28283754868061,1,1,1.1355417325903014,1.6989302000027628,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,1.217411820210592,0.11755478132726777,False,False,False,False
1,0,0,0,-1.2816237461508118,1,0,-0.31126022665277225,-0.9845470454768519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.13416613110465708,0.30264457949903845,False,False,False,False
1,1,1,0,0.18378270803857213,1,1,0.9148712502745572,0.5151664279008761,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,-0.08363397415804874,0.09714317427589463,False,False,False,False
0,0,1,1,0.6315457912631062,1,1,1.3379612727596302,1.1839240693348168,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.6004655179120352,0.11638096697291593,False,False,False,False
1,1,1,0,-0.5082147842175258,1,1,0.9828974891839217,-0.1753770654438289,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,-0.7575922552385563,0.04526376224520416,False,False,False,False
0,0,0,0,-0.26398037518596185,1,1,0.1516500332426607,-0.21908040583279328,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.29872161899015537,0.048727610754955575,False,False,False,False
0,0,0,0,-0.10115743583158582,1,0,-1.5108448786398616,-0.7550825690068833,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.1118952993428047,0.012525556493943534,False,False,False,False
0,0,0,0,1.4863662228735801,1,1,0.06537285218688127,0.9998083903467703,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.1515472887267349,0.09474102502116237,False,False,False,False
1,0,1,1,1.2421318138420159,1,1,0.8120023036311278,1.4472630224918142,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.7657397229309867,0.11097838034965833,False,False,False,False
1,0,1,0,-1.118800806796436,1,0,-1.5125040551986264,-0.9536124521292417,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1.4280542890447618,0.6186316643537763,False,False,False,False
1,0,1,0,0.2651941777157602,1,1,-1.4760021709057967,-0.6622787889640523,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.6561687353827635,0.03333164126641545,False,False,False,False
1,0,0,1,-1.1595065416350299,1,1,1.2201597370873158,-0.8489613810171133,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,-1.6791479592170877,0.42915137006568665,False,False,False,False
1,0,1,0,1.120014609326234,1,0,1.2019087949409009,1.6533839476696854,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,1.1057949886954133,0.11994384301770222,False,False,False,False
1,0,1,1,-0.5489205190561198,1,0,1.2732533869677953,-0.12577201894812193,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,-0.9566768582229812,0.05053026096624524,False,False,False,False
0,0,1,0,-0.8745663977648718,1,1,1.2301147964399057,-0.5063552748353529,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,-1.3371494954159033,-0.18848803819533244,False,False,False,False
0,1,0,0,-0.06045170099299183,1,1,1.162088557530541,0.3893438088593547,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,-0.323216184180195,0.09585930182956343,False,False,False,False
1,0,0,0,-0.10115743583158582,1,1,0.6427662946370983,0.061108027956093956,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,-0.32061187283909853,0.07286300910015121,False,False,False,False
1,0,0,0,0.8350744654560761,1,0,-1.338290516528302,-0.44771118404233,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-1.3814516838179605,0.05177115396381113,False,False,False,False
0,0,0,0,-1.118800806796436,1,1,0.8103431270723626,-0.8063330725955482,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,-1.1705761436821078,0.5327709207029021,False,False,False,False
1,1,0,0,0.7536629957788882,1,1,0.4868036981131889,0.7351311320875006,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.11713007865625577,0.09595552120846332,False,False,False,False
0,0,1,0,1.5677776925507678,1,0,0.8086839505135975,1.7943447719664203,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,1.0278345929002357,0.11450951382284998,False,False,False,False
0,0,0,1,1.160720344164828,1,1,-1.3250171040581824,-0.35146291381824046,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-1.801688156889085,0.05713662936294717,False,False,False,False
1,1,0,0,-0.9966836022806537,1,1,0.3175676891191599,-0.7427745499515575,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.5796712697793212,-6.385852493394523,False,False,False,False
1,0,1,0,-0.9152721326034657,1,1,-0.331170345357952,-0.7593168785927619,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.03992745826562376,-0.49540218290077065,False,False,False,False
0,0,1,0,-0.8338606629262777,0,1,-0.5004063543519812,-0.7381233912354628,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0.15422153820816828,-0.21809178889337702,False,False,False,False
1,0,1,0,1.3642490183577978,1,0,-0.03583691789778339,0.8623359350871068,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,-0.2993600375469908,0.0922596476682565,False,False,False,False
1,0,0,0,-0.34539184486314983,1,0,-0.1486609238938028,-0.3767371347660752,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.2088234393765276,0.030407111413907416,False,False,False,False
0,0,1,1,-1.1595065416350299,1,0,-0.2797358720362373,-0.9057625598660233,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.0601292691178787,0.45358171644715833,False,False,False,False
0,0,0,0,-1.1595065416350299,1,1,0.7970697146022427,-0.8530640540355552,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,-1.1885332543217155,0.43091594124117344,False,False,False,False
0,0,0,1,0.10237123836138416,1,0,-0.30960105009400707,-0.12412656185516392,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,-0.29044316822628763,0.06074010597880648,False,False,False,False
0,1,0,0,0.5094285867473242,1,1,0.6892232382825183,0.6488653015606894,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.10086290345536622,0.09670807414968632,False,False,False,False
1,0,0,0,1.323543283519204,1,1,1.4955830458423045,2.123436190558019,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,1.7442113309394167,0.12885834502539412,False,False,False,False
0,0,1,1,-0.7524491932490897,1,1,0.5299422886410792,-0.503086300077343,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.6598898940519919,-0.06338597086416183,False,False,False,False
0,0,1,1,1.160720344164828,0,1,-0.4722003528529763,0.3463864090191979,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,-0.8037801585875983,0.0786567866825948,False,False,False,False
1,0,1,1,1.445660488034986,1,0,0.5116913464946639,1.3496325683096397,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.49549896956470235,0.10472329021121844,False,False,False,False
0,0,1,1,-0.3860975797017438,1,1,-0.23825645806711251,-0.4460218480935598,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,-0.1686584639668292,0.020468040039788832,False,False,False,False
0,0,0,0,0.9164859351332642,1,1,0.5515115839050239,0.9697952529712167,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.25747856642589556,0.10171782396015121,False,False,False,False
1,0,1,1,1.4863662228735801,1,0,-1.3432680462045972,-0.25499524931508966,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-2.260439831064765,0.061104939686547136,False,False,False,False
0,0,1,0,-1.0373893371192477,1,0,0.541556524552434,-0.7543805073138878,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,-0.8251515336719223,1.5714974787726455,False,False,False,False
0,0,1,1,1.608483427389362,1,0,0.4685527559667741,1.5056438401499637,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5101953832300771,0.10640322317312487,False,False,False,False
0,0,1,1,1.160720344164828,1,1,-0.5053838840282762,0.29050668614234454,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.8426092635798742,0.07693357740527015,False,False,False,False
1,1,1,0,1.28283754868061,1,0,0.510032169935899,1.1927875982088838,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.4087848331769518,0.10277982707924048,False,False,False,False
0,1,1,0,-0.01974596615439783,1,1,0.9380997220972672,0.27716751397543166,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,-0.2720926787537363,0.08708847080468013,False,False,False,False
0,0,0,0,-1.2816237461508118,1,1,0.48514452155442406,-0.9740161200819208,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,-0.8869969833531963,0.30010952178562683,False,False,False,False
1,0,0,0,-1.2002122764736238,1,1,0.5763992322864986,-0.9148454830191514,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.9564310963497206,0.37651069603374626,False,False,False,False
1,0,0,1,-1.2002122764736238,1,0,-1.4842980536996215,-0.9867190488395565,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1.517376896353974,0.40100144922518055,False,False,False,False
0,0,1,0,1.608483427389362,1,1,0.6460846477546286,1.6661307552831335,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.7977489263116244,0.1105041427360704,False,False,False,False
0,0,0,1,-0.26398037518596185,0,1,-1.1657361544167433,-0.6638145489174799,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.04433176060927468,0.008619228722398484,False,False,False,False
1,0,0,0,0.2651941777157602,1,1,1.178680323118191,0.6592207115323717,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,0.06308433322183093,0.1028316800552025,False,False,False,False
0,0,0,0,-1.2816237461508118,1,0,-1.5058673489635668,-1.0003434335692487,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1.6659108027914376,0.30644716606915584,False,False,False,False
0,0,0,0,-1.2816237461508118,1,1,-1.5075265255223316,-1.000365372997155,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1.6680382259465578,0.30645244743939215,False,False,False,False
0,0,1,1,0.9571916699718581,1,0,0.7954105380434779,1.170979806870214,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,0.5157985883274958,0.10785991822966376,False,False,False,False
0,1,1,0,0.4280171170701362,1,1,1.4142833944628197,0.9805016937893966,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,0.3590519370900866,0.11381496095928798,False,False,False,False
0,0,0,1,-1.2816237461508118,1,0,-1.3117436915880625,-0.9977765205042343,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1.4170022936423354,0.30582924575151177,False,False,False,False
1,0,0,0,-0.1418631706701798,1,0,0.19810697688808065,-0.1468777485937965,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,-0.28584319228961064,0.05700503049981883,False,False,False,False
1,0,0,0,-1.2409180113122178,1,1,0.5664441729339088,-0.9278994426232848,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.9678605255270234,0.3270749425891512,False,False,False,False
1,0,0,0,1.445660488034986,1,0,0.4868036981131889,1.3875000208755799,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,0.45925660361221043,0.10575522505791818,False,False,False,False
1,0,1,1,1.404954753196392,1,1,0.8169798333074225,1.7875216098876214,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9064517888362756,0.1174832944313159,False,False,False,False
0,0,1,1,-0.5489205190561198,1,1,-1.3283354571757122,-0.8037003412468154,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.46512224741898467,-0.048866451932750014,False,False,False,False
1,0,1,1,1.3642490183577978,0,1,-0.27143998924241236,0.618281739059577,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,-0.6231950774481714,0.08538026767484454,False,False,False,False
0,0,1,0,-1.1595065416350299,0,1,-1.1906238027982181,-0.9520547527479082,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.1163938690690918,0.47349211848072537,False,False,False,False
0,0,1,1,-0.9559778674420597,1,0,-1.4992306427285065,-0.9164909401121094,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,1.16900883440169,-1.187219266088496,False,False,False,False
1,1,1,0,0.8350744654560761,1,1,1.2915043291142103,1.3980528856984171,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.8358652506193731,0.11876772076874248,False,False,False,False
0,0,0,0,-0.3860975797017438,1,1,-1.5075265255223316,-0.8026033698515102,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.31749985717239926,-0.01804293534971406,False,False,False,False
0,0,1,0,0.7129572609402941,1,0,1.4474669256381196,1.452989213175308,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,0.7891961358167996,0.1245344391178028,False,False,False,False
1,0,0,0,-1.2409180113122178,1,0,0.33250027814804495,-0.942335586185503,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.6774557249061547,0.33114786431594556,False,False,False,False
0,0,1,0,1.07930887448764,1,0,-1.4793205240233267,-0.45297664673979554,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-1.8617729775227445,0.05347072930684392,False,False,False,False
1,0,1,1,1.2421318138420159,1,0,0.6162194696968586,1.3758940635132495,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0.520643748417938,0.10885727749103154,False,False,False,False
0,0,1,0,-0.30468611002455576,1,1,0.20308450656437535,-0.202560016619495,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,-0.32064417698753883,0.0491997178091872,False,False,False,False
0,0,0,0,-0.7524491932490897,1,1,0.5150096996121941,-0.5385404155736112,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,-0.648677398545139,-0.07278539666389772,False,False,False,False
1,0,1,0,1.323543283519204,1,0,0.07035038186317596,0.8820594807746965,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,-0.15650983178994515,0.0932546297688349,False,False,False,False
1,1,1,0,1.4863662228735801,0,0,-0.2780766954774724,0.7254558443809077,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,-0.6657295693674562,0.08738677025476445,False,False,False,False
0,0,1,1,-0.4675090493789318,1,1,0.3026351000902749,-0.32191050442871477,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.4010271431992788,0.028739995400794735,False,False,False,False
